Date, Open, High, Low, Close
07/14/08, 1241.61, 1253.50, 1225.01, 1228.30
07/11/08, 1248.66, 1257.27, 1225.35, 1239.49
07/10/08, 1245.25, 1257.65, 1236.76, 1253.39
07/09/08, 1273.38, 1277.36, 1244.57, 1244.69
07/08/08, 1251.84, 1274.17, 1242.84, 1273.70
07/07/08, 1262.90, 1273.95, 1240.68, 1252.31
07/03/08, 1262.96, 1271.48, 1252.01, 1262.90
07/02/08, 1285.82, 1292.17, 1261.51, 1261.52
07/01/08, 1276.69, 1285.31, 1260.68, 1284.91
06/30/08, 1278.06, 1290.31, 1274.86, 1280.00
06/27/08, 1283.60, 1289.45, 1272.00, 1278.38
06/26/08, 1316.29, 1316.29, 1283.15, 1283.15
06/25/08, 1314.54, 1335.63, 1314.54, 1321.97
06/24/08, 1317.23, 1326.02, 1304.42, 1314.29
06/23/08, 1319.77, 1323.78, 1315.31, 1318.00
06/20/08, 1341.02, 1341.02, 1314.46, 1317.93
06/19/08, 1336.89, 1347.66, 1330.50, 1342.83
06/18/08, 1349.59, 1349.59, 1333.40, 1337.81
06/17/08, 1360.71, 1366.59, 1350.54, 1350.93
06/16/08, 1358.85, 1364.70, 1352.07, 1360.14
06/13/08, 1341.81, 1360.03, 1341.71, 1360.03
06/12/08, 1335.78, 1353.03, 1331.29, 1339.87
06/11/08, 1357.09, 1357.09, 1335.47, 1335.49
06/10/08, 1358.98, 1366.84, 1351.56, 1358.44
06/09/08, 1360.83, 1370.63, 1350.62, 1361.76
06/06/08, 1400.06, 1400.06, 1359.90, 1360.68
06/05/08, 1377.48, 1404.05, 1377.48, 1404.05
06/04/08, 1376.26, 1388.18, 1371.74, 1377.20
06/03/08, 1386.42, 1393.12, 1370.12, 1377.65
06/02/08, 1399.62, 1399.62, 1377.79, 1385.67
05/30/08, 1398.36, 1404.46, 1398.08, 1400.38
05/29/08, 1390.50, 1406.32, 1388.59, 1398.26
05/28/08, 1386.54, 1391.25, 1378.16, 1390.84
05/27/08, 1375.97, 1387.40, 1373.07, 1385.35
05/23/08, 1392.20, 1392.20, 1373.72, 1375.93
05/22/08, 1390.83, 1399.07, 1390.23, 1394.35
05/21/08, 1414.06, 1419.12, 1388.81, 1390.71
05/20/08, 1424.49, 1424.49, 1409.09, 1413.40
05/19/08, 1425.28, 1440.24, 1421.63, 1426.63
05/16/08, 1423.89, 1425.82, 1414.35, 1425.35
05/15/08, 1408.36, 1424.40, 1406.87, 1423.57
05/14/08, 1405.65, 1420.19, 1405.65, 1408.66
05/13/08, 1404.40, 1406.30, 1396.26, 1403.04
05/12/08, 1389.40, 1404.06, 1386.20, 1403.58
05/09/08, 1394.90, 1394.90, 1384.11, 1388.28
05/08/08, 1394.29, 1402.35, 1389.39, 1397.68
